iter	Passed	Remaining
0	0	26
1	0	24
2	0	25
3	0	22
4	1	22
5	1	21
6	1	21
7	1	21
8	2	20
9	2	20
10	2	20
11	2	19
12	2	19
13	3	19
14	3	18
15	3	18
16	3	18
17	3	18
18	4	18
19	4	17
20	4	17
21	4	17
22	5	17
23	5	16
24	5	16
25	5	16
26	6	16
27	6	16
28	6	15
29	6	15
30	6	15
31	7	15
32	10	20
33	10	20
34	10	19
35	10	19
36	11	18
37	11	18
38	11	18
39	11	17
40	11	17
41	12	16
42	12	16
43	12	15
44	12	15
45	12	15
46	13	14
47	13	14
48	13	14
49	13	13
50	13	13
51	14	13
52	14	12
53	14	12
54	14	12
55	14	11
56	15	11
57	15	11
58	15	10
59	15	10
60	16	10
61	16	9
62	16	9
63	16	9
64	16	9
65	17	8
66	17	8
67	17	8
68	17	8
69	18	7
70	18	7
71	18	7
72	18	6
73	19	6
74	19	6
75	19	6
76	19	5
77	19	5
78	20	5
79	20	5
80	21	4
81	21	4
82	21	4
83	21	4
84	22	3
85	23	3
86	23	3
87	23	3
88	23	2
89	24	2
90	24	2
91	24	2
92	24	1
93	25	1
94	25	1
95	25	1
96	25	0
97	25	0
98	26	0
99	26	0
